kecamatan,latitude,longitude
CAKUNG,-6.2138,106.9473
CEMPAKA PUTIH,-6.20596,106.82776
CENGKARENG,-6.17144,106.827819
CILANDAK,-6.288883,106.793281
CILINCING,-6.17144,106.827819
CIPAYUNG,-6.17144,106.827819
CIRACAS,-6.338004,106.873783
DUREN SAWIT,-6.238319,106.921341
GAMBIR,-6.175442,106.826702
GROGOL PETAMBURAN,-6.1969,106.8065
JAGAKARSA,-6.354594,106.806608
JATINEGARA,-6.193695,106.909076
JOHAR BARU,-6.1848,106.8596
KALI DERES,-6.17144,106.827819
KEBAYORAN BARU,-6.246466,106.796393
KEBAYORAN LAMA,-6.233826,106.771644
KEBON JERUK,-6.195453,106.77349
KELAPA GADING,-6.154476,106.905403
KEMAYORAN,-6.1674,106.8475
KEMBANGAN,-6.198581,106.758783
KEP. SERIBU SELATAN,-5.855,106.62583
KEP. SERIBU UTARA,-5.652324,106.576573
KOJA,-6.118328,106.916801
KRAMAT JATI,-6.2683,106.8699
MAKASAR,-6.17144,106.827819
MAMPANG PRAPATAN,-6.257232,106.815401
MATRAMAN,-6.20694,106.86194
MENTENG,-6.197673,106.833255
PADEMANGAN,-6.114516,106.893617
PALMERAH,-6.194659,106.792353
PANCORAN,-6.243178,106.839402
PASAR MINGGU,-6.297828,106.831764
PASAR REBO,-6.301744,106.869124
PENJARINGAN,-6.1224,106.768
PESANGGRAHAN,-6.2401,106.7565
PULO GADUNG,-6.183177,106.908781
SAWAH BESAR,-6.151442,106.827883
SENEN,-6.174485,106.842452
SETIA BUDI,-6.208475,106.823634
TAMAN SARI,-6.13425,106.815391
TAMBORA,-6.1447,106.8089
TANAH ABANG,-6.199878,106.814357
TANJUNG PRIOK,-6.127141,106.87881
TEBET,-6.2299,106.8524
